ID,Tytuł,Autor,Cykl,Średnia ocena,Liczba ocen,Czytelnicy,Opinie,Ocena użytkownika,Link,Data przeczytania,Na półkach Głowne,Na półkach Pozostałe
4883648,Imperium ciszy,Christopher Ruocchio,Pożeracz słońc (tom 1),"7,3",179,1119,49,,https://lubimyczytac.pl/ksiazka/4883648/imperium-ciszy,,Chcę przeczytać,
5095549,Pożar,Craig Alanson,Expeditionary Force (tom 11),"7,4",103,248,12,6,https://lubimyczytac.pl/ksiazka/5095549/pozar,2024-12-11,Przeczytane,
5022292,Baśniowa opowieść,Stephen King,,"7,3",3167,5824,579,,https://lubimyczytac.pl/ksiazka/5022292/basniowa-opowiesc,,Chcę przeczytać,
5091650,Droga Cienia,Brent Weeks,Nocny Anioł (tom 1),"7,7",4368,9396,328,,https://lubimyczytac.pl/ksiazka/5091650/droga-cienia,,Chcę przeczytać,
5126665,Szklany tron,Sarah J. Maas,Szklany Tron (tom 1),"7,8",14412,29122,1543,,https://lubimyczytac.pl/ksiazka/5126665/szklany-tron,,Chcę przeczytać,
5096331,The Prison Healer. Próby żywiołów,Lynette Noni,The Prison Healer (tom 1),"7,9",734,2414,226,,https://lubimyczytac.pl/ksiazka/5096331/the-prison-healer-proby-zywiolow,,Chcę przeczytać,
5096549,Czerwony świt,Pierce Brown,Red Rising (tom 1),"7,5",1248,4686,232,,https://lubimyczytac.pl/ksiazka/5096549/czerwony-swit,,Chcę przeczytać,
4970701,Miasto mosiądzu,S.A. Chakraborty,Dewabad (tom 1),"7,7",1574,4949,225,,https://lubimyczytac.pl/ksiazka/4970701/miasto-mosiadzu,,Chcę przeczytać,
5169484,Nibynoc,Jay Kristoff,Nibynoc (tom 1),"7,9",2485,7705,308,,https://lubimyczytac.pl/ksiazka/5169484/nibynoc,,Chcę przeczytać,
5079337,Okno skąpane w mroku,Rachel Gillig,Tajemnice Króla Shepherda (tom 1),"7,6",1942,4066,316,,https://lubimyczytac.pl/ksiazka/5079337/okno-skapane-w-mroku,,Chcę przeczytać,
5084625,Ślepowidzenie,Peter Watts,Ślepowidzenie (tom 1),"7,6",3984,10777,478,,https://lubimyczytac.pl/ksiazka/5084625/slepowidzenie,,Chcę przeczytać,
5089322,Ostrze,Joe Abercrombie,Pierwsze prawo (tom 1),"7,7",3058,7842,328,,https://lubimyczytac.pl/ksiazka/5089322/ostrze,,Chcę przeczytać,
193046,Gra Endera,Orson Scott Card,Saga Endera (tom 1),"8,0",11714,20515,905,,https://lubimyczytac.pl/ksiazka/193046/gra-endera,,Chcę przeczytać,
47826,Czarna Kompania,Glen Cook,Czarna Kompania (tom 1),"7,1",1336,3246,122,,https://lubimyczytac.pl/ksiazka/47826/czarna-kompania,,Chcę przeczytać,
5064645,Spotkanie z Ramą,Arthur C. Clarke,Rama (tom 1),"7,3",1204,2720,154,,https://lubimyczytac.pl/ksiazka/5064645/spotkanie-z-rama,,Chcę przeczytać,
4988209,Wampirze cesarstwo,Jay Kristoff,Wampirze cesarstwo (MAG) (tom 1),"8,4",1183,3737,237,,https://lubimyczytac.pl/ksiazka/4988209/wampirze-cesarstwo,,Chcę przeczytać,
5066444,Tancerze burzy,Jay Kristoff,Wojna Lotosowa (tom 1),"7,3",1464,5368,281,,https://lubimyczytac.pl/ksiazka/5066444/tancerze-burzy,,Chcę przeczytać,
4923601,Dom ziemi i krwi. Część 1,Sarah J. Maas,Księżycowe Miasto (tom 1.1),"7,5",3639,8459,512,,https://lubimyczytac.pl/ksiazka/4923601/dom-ziemi-i-krwi-czesc-1,,Chcę przeczytać,
4934877,Początek,Wasilij Machanienko,Droga Szamana (tom 1),"7,6",1993,3916,286,8,https://lubimyczytac.pl/ksiazka/4934877/poczatek,,Przeczytane,
4999909,Ostatnia bitwa,Dariusz Domagalski,HAJMDAL (tom 6),"7,1",131,223,17,6,https://lubimyczytac.pl/ksiazka/4999909/ostatnia-bitwa,,Przeczytane,
4951633,Relikt,Dariusz Domagalski,HAJMDAL (tom 5),"7,0",174,296,19,6,https://lubimyczytac.pl/ksiazka/4951633/relikt,,Przeczytane,
4909479,Więzy krwi,Dariusz Domagalski,HAJMDAL (tom 4),"7,1",211,355,23,6,https://lubimyczytac.pl/ksiazka/4909479/wiezy-krwi,,Przeczytane,
4869967,Bunt,Dariusz Domagalski,HAJMDAL (tom 3),"6,7",246,397,27,6,https://lubimyczytac.pl/ksiazka/4869967/bunt,,Przeczytane,
4863130,Księżyce Monarchy,Dariusz Domagalski,HAJMDAL (tom 2),"6,8",277,445,38,6,https://lubimyczytac.pl/ksiazka/4863130/ksiezyce-monarchy,,Przeczytane,
4848454,Początek podróży,Dariusz Domagalski,HAJMDAL (tom 1),"6,6",360,731,62,6,https://lubimyczytac.pl/ksiazka/4848454/poczatek-podrozy,,Przeczytane,
