Title,Polish Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Year Published,Original Publication Year,Date Read,Date Added,Shelves,Bookshelves,My Review
Empire of Silence,Imperium ciszy,Christopher Ruocchio,9788380625068,,"7,3",,,,,,,Chcę przeczytać,,
BRUSHFIRE,Pożar,Craig Alanson,000-00-0000-00-0,6,"7,4",,,,,2024-12-11,,Przeczytane,,
Fairy Tale,Baśniowa opowieść,Stephen King,9788367338189,,"7,3",,,,,,,Chcę przeczytać,,
The Way of Shadows,Droga Cienia,Brent Weeks,9788367793445,,"7,7",,,,,,,Chcę przeczytać,,
Throne of Glass,Szklany tron,Sarah J. Maas,9788383198149,,"7,8",,,,,,,Chcę przeczytać,,
The Prison Healer,The Prison Healer. Próby żywiołów,Lynette Noni,9788382655247,,"7,9",,,,,,,Chcę przeczytać,,
Red Rising,Czerwony świt,Pierce Brown,9788367793926,,"7,5",,,,,,,Chcę przeczytać,,
The City of Brass,Miasto mosiądzu,S.A. Chakraborty,9788366657410,,"7,7",,,,,,,Chcę przeczytać,,
Nevernight,Nibynoc,Jay Kristoff,9788368240092,,"7,9",,,,,,,Chcę przeczytać,,
One Dark Window,Okno skąpane w mroku,Rachel Gillig,9788383208985,,"7,6",,,,,,,Chcę przeczytać,,
Blindsight,Ślepowidzenie,Peter Watts,9788367793346,,"7,6",,,,,,,Chcę przeczytać,,
The Blade Itself,Ostrze,Joe Abercrombie,9788367793131,,"7,7",,,,,,,Chcę przeczytać,,
Ender's Game,Gra Endera,Orson Scott Card,9788378396321,,"8,0",,,,,,,Chcę przeczytać,,
The Black company,Czarna Kompania,Glen Cook,8373010718,,"7,1",,,,,,,Chcę przeczytać,,
Rendezvous With Rama,Spotkanie z Ramą,Arthur C. Clarke,9788383380131,,"7,3",,,,,,,Chcę przeczytać,,
Empire of the Vampire,Wampirze cesarstwo,Jay Kristoff,9788367793384,,"8,4",,,,,,,Chcę przeczytać,,
Stormdancer,Tancerze burzy,Jay Kristoff,9788383185385,,"7,3",,,,,,,Chcę przeczytać,,
The House of Earth and Blood,Dom ziemi i krwi. Część 1,Sarah J. Maas,9788328098480,,"7,5",,,,,,,Chcę przeczytać,,
Путь Шамана. Шаг 1: Начало,Początek,Wasilij Machanienko,9788366071032,8,"7,6",,,,,,,Przeczytane,,
Hajmdal 6: Ostatnia bitwa,Ostatnia bitwa,Dariusz Domagalski,9788367053228,6,"7,1",,,,,,,Przeczytane,,
Relikt,Relikt,Dariusz Domagalski,9788366375680,6,"7,0",,,,,,,Przeczytane,,
Więzy krwi,Więzy krwi,Dariusz Domagalski,9788366375260,6,"7,1",,,,,,,Przeczytane,,
Bunt,Bunt,Dariusz Domagalski,9788365661999,6,"6,7",,,,,,,Przeczytane,,
Księżyce Monarchy,Księżyce Monarchy,Dariusz Domagalski,9788365661722,6,"6,8",,,,,,,Przeczytane,,
Początek podróży,Początek podróży,Dariusz Domagalski,9788365661609,6,"6,6",,,,,,,Przeczytane,,
Heaven's Rver (2020),Niebiańska rzeka,Dennis E. Taylor,9788367023047,7,"7,1",,,,,,,Przeczytane,,
All These Worlds (2017),Wszystkie te światy,Dennis E. Taylor,9788366712096,8,"7,4",,,,,,,Przeczytane,,
For We Are Many,Gdyż jest nas wielu,Dennis E. Taylor,9788366409187,8,"7,5",,,,,,,Przeczytane,,
The Poppy War,Wojna makowa,Rebecca F. Kuang,9788379645275,7,"7,5",,,,,,,Przeczytane,,
We Are Legion (We Are Bob),"Nasze imię Legion, nasze imię Bob",Dennis E. Taylor,9788366409484,8,"7,4",,,,,,,Przeczytane,,
Antykwariat pod salamandrą,Antykwariat pod salamandrą,Adam Przechrzta,9788367949422,,"7,3",,,,,,,Chcę przeczytać,,
Aftershocks,Wstrząsy wtórne,Marko Kloos,9788379645893,,"7,3",,,,,,,Chcę przeczytać,,
Benjamin Ashwood,Beniamin Ashwood,A. C. Cobble,9788379645961,6,"6,5",,,,,,,Przeczytane,,
Leviathan Falls (2021),Upadek Lewiatana,James S.A. Corey,9788367023191,,"7,7",,,,,,,Przeczytane,,
Tiamath's Wrath (2019),Gniew Tiamat,James S.A. Corey,9788366409095,,"7,8",,,,,,,Przeczytane,,
Persepolis Rising (2017),Wzlot Persepolis,James S.A. Corey,9788366409439,,"7,6",,,,,,,Przeczytane,,
Babylon's Ashes (2016),Prochy Babilonu,James S.A. Corey,9788374806237,,"7,2",,,,,,,Przeczytane,,
Nemesis Games,Gry Nemezis,James S.A. Corey,9788366065383,,"7,7",,,,,,,Przeczytane,,
Abaddon's Gate,Wrota Abaddona,James S.A. Corey,9788366065031,,"7,4",,,,,,,Przeczytane,,
Caliban's War,Wojna Kalibana,James S.A. Corey,9788374809245,,"7,7",,,,,,,Przeczytane,,
Leviathan Wakes,Przebudzenie Lewiatana,James S.A. Corey,9788374809153,,"7,5",,,,,,,Przeczytane,,
Cibola Burn,Gorączka Ciboli,James S.A. Corey,9788366065307,7,"7,5",,,,,,,Przeczytane,,
King's Fall,King's Fall,Evan Currie,000-00-0000-00-0,,"8,0",,,,,,,Przeczytane,,
Odysseus Ascendant,Odyssey One. W cieniu zagłady,Evan Currie,9788365661845,,"7,5",,,,,,,Przeczytane,,
Odysseus Awakening,Odyssey One. Przebudzenie Odyseusza,Evan Currie,9788365661579,,"7,3",,,,,,,Przeczytane,,
Warrior King (2016),Odyssey One. Król wojowników,Evan Currie,9788365661241,,"7,5",,,,,,,Przeczytane,,
Out of the Black: Odyssey One #4,Odyssey One. W ogniu wojny,Evan Currie,9788364030499,,"7,4",,,,,,,Przeczytane,,
Homeworld: Odyssey One,Odyssey One. Ostatni bastion,Evan Currie,9788364030376,,"7,6",,,,,,,Przeczytane,,
The Heart of Matter: Odyssey One (2012),Odyssey One. W samo sedno,Evan Currie,9788364030314,,"7,2",,,,,,,Przeczytane,,
Into the Black: Odyssey One,Odyssey One. Rozgrywka w ciemno,Evan Currie,9788364030161,,"7,2",,,,,,,Przeczytane,,
Dragons and Demons,Smoki i demony,Kel Kade,9788379648894,6,"7,6",,,,,,,Przeczytane,,
Kingdoms and Chaos,Królestwa i chaos,Kel Kade,9788379647187,6,"7,5",,,,,,,Przeczytane,,
Legends of Ahn (2017),Legendy Ahn,Kel Kade,9788379647125,6,"7,4",,,,,,,Przeczytane,,
Reign of Madness,Królestwo obłędu,Kel Kade,9788379646807,7,"7,7",,,,,,,Przeczytane,,
Free the Darkness,Powiernik mieczy,Kel Kade,9788379646456,8,"7,2",,,,,,,Przeczytane,,
